no,tango,kana,en,zh,vi
1995,万全,ばんぜん,"Complete, perfect",万无一失的,"kỹ lưỡng, xong"
1996,半端,はんぱ,Odd (sum),不上不下的、不彻底的,"dư, lẻ, nửa chừng"
1997,悲惨,ひさん,"Miserable, wretched",悲惨的,bi thảm
1998,ひそか,,Secret,暗中的、偷偷的,"bí mật, riêng tư"
1999,貧困,ひんこん,"Poor, hard up",贫困的,nghèo khổ
2000,貧弱,ひんじゃく,"Poor, weak",贫弱的,yếu ớt
2001,頻繁,ひんぱん,Frequent,频繁的,thường xuyên
2002,不快,ふかい,Unpleasant,不愉快的、不快的,"khó chịu, không thoải mái"
2003,不可欠,ふかけつ,"Essential, indispensable",不可欠缺的、不可或缺的,không thể thiếu
2004,不振,ふしん,"Slumping, in a trough",不佳的,"sa sút, đình trệ"
2005,不審,ふしん,Suspicious,可疑的,khả nghi
2006,物騒,ぶっそう,Unsafe,不安宁的、不太平的,"bất ổn, hỗn loạn, nguy hiểm"
2007,不当,ふとう,Unfair,不正当的、不合理的,"bất công, quá đáng, không chính đáng"
2008,無難,ぶなん,"Acceptable, safe",说得过去的、无功无过的,"ổn, chấp nhận được"
2009,不服,ふふく,Dissatisfied,不服的、不满的,"không hài lòng, không phục"
2010,普遍的,ふへんてき,Universal,普遍的,phổ quát
2011,膨大,ぼうだい,"Huge, enormous",庞大的、大量的,khổng lồ
2012,保守的,ほしゅてき,Conservative,保守的,bảo thủ
2013,前向き,まえむき,Forward-looking,乐观的、积极的,"hướng về phía trước, tích cực"
2014,まちまち,,"Mixed, not uniform",各式各样的、形形色色的,"đa dạng, khác nhau"
2015,まとも,,"Head-on / Decent, straight-dealing",迎面的、正对面的；正派的、认真的,"thẳng, trực tiếp / chân chính"
2016,まれ,,Rare,稀少的、很少的,"hiếm, đặc biệt"
2017,惨め,みじめ,Miserable,悲惨的、凄惨的,"khốn khổ, đáng thương"
2018,未熟,みじゅく,Immature,不成熟的、经验不够的,"còn xanh, non nớt, chưa có kinh nghiệm"
2019,無意味,むいみ,Meaningless,无意义的、没有价值的,vô nghĩa
2020,無効,むこう,Invalid,无效的、失效的,"vô giá trị, vô hiệu lực"
2021,無残,むざん,"Pitiful, distressing",悲惨的、凄惨的,bi thảm
2022,無邪気,むじゃき,Innocent,天真无邪的,ngây thơ
2023,無神経,むしんけい,Insensitive,少根筋的、感觉迟钝的,"vô cảm, vô tình"
2024,無知,むち,Ignorant,无知的,ngu dốt
2025,むちゃ,,"Absurd, reckless",荒唐的、乱来的,"vớ vẩn, vô lý"
2026,むちゃくちゃ,,Incoherent,毫无条理的,"rời rạc, tan tành, bừa bãi"
2027,無能,むのう,Incompetent,无能的,"bất tài, không hiệu quả"
2028,無用,むよう,Unneeded,不用的、无需的,không cần thiết
2029,無力,むりょく,"Powerless, helpless",无力的、弱小的,bất lực
2030,明白,めいはく,"Obvious, clear",明显的、明白的,"rõ ràng, rành rành"
2031,明瞭,めいりょう,"Clear, intelligible",明了的,"rành rọt, rõ ràng"
2032,メンタル,,Mental,精神的,về tinh thần
2033,猛烈,もうれつ,"Ferocious, wild",猛烈的,"dữ dội, khủng khiếp"
2034,厄介,やっかい,"Troublesome, nuisance",麻烦的、难缠的,phiền phức
2035,優位,ゆうい,"Superior, leading",有优势的,"có ưu thế, cao hơn"
2036,有意義,ゆういぎ,"Meaningful, helpful",有意义的,"có nghĩa, hữu ích"
2037,憂鬱,ゆううつ,Depressing,忧郁的、愁闷的,"suy sụp, chán nản, ảm đạm"
2038,有益,ゆうえき,"Beneficial, useful",有益的、有用的,hữu ích
2039,優雅,ゆうが,"Elegant, graceful",优雅的,"duyên dáng, thanh lịch"
2040,勇敢,ゆうかん,Brave,勇敢的,dũng cảm
2041,優勢,ゆうせい,"Superior, having the edge",有优势的,chiếm ưu thế
2042,雄大,ゆうだい,"Glorious, magnificent",雄伟的、宏大的,hùng vĩ
2043,裕福,ゆうふく,"Wealthy, affluent",富裕的,"sung túc, dư dả"
2044,有望,ゆうぼう,Promising,有希望的、有前途的,có triển vọng
2045,緩やか,ゆるやか,Loose,平缓的、缓和的,thoai thoải
2046,楽天的,らくてんてき,"Optimistic, carefree",乐天派的、乐天的,"lạc quan, tích cực"
2047,楽観的,らっかんてき,"Optimistic, hopeful",乐观的,lạc quan (với việc chưa xảy ra)
2048,ラフ,,Rough,不加修饰的,giản đơn
2049,リアル,,"Real, realistic",栩栩如生的,giống thật
2050,立体的,りったいてき,Three-dimensional,立体的,ba chiều
2051,良好,りょうこう,Good,良好的,tốt đẹp
2052,ルーズ,,Loose,自由散漫的、松懈的,cẩu thả
2053,ろく,,Decent,（不）理想的、（不）像样的,đàng hoàng
2054,露骨,ろこつ,"Open, plain, overt",露骨的、明显的,"thẳng thừng, trắng trợn"
2055,あいにく,,Unfortunately,不凑巧、扫兴,không may là
2056,あえて,,"Dare, venture",敢、偏要,cố tình
2057,あしからず,,"Please understand that ~, I'm sorry but ~",（请）不要见怪、（请）原谅,"xin thông cảm, xin đừng để bụng"
2058,あたかも,,"As if, like",宛如、好像,như thể
2059,あらかじめ,,In advance,事先、预先,trước
2060,ありありと,,Vividly,历历在目地、清晰地,rõ mồn một
2061,案の定,あんのじょう,"As expected, sure enough",果不其然、不出所料,"như dự đoán, y như rằng"
2062,いかに,,How,如何、怎样,làm thế nào
2063,いかにも,,"Undisguised, distinctly",完全、的确,"đúng là, cứ như là"
2064,幾分,いくぶん,"Somewhat, some",多少、几分,"đôi chút, đôi phần"
2065,いずれ,,"Some day, sooner or later",迟早、反正,sớm muộn gì
2066,依然,いぜん,"Still, yet",依然,vẫn như trước
2067,至って,いたって,"Very much, terribly",极其、甚为,"rất, cực kỳ"
2068,一概に,いちがいに,Sweepingly (say),笼统地、无区别地,"chung chung, vơ đũa cả nắm"
2069,一様に,いちように,"Uniformly, equally",一样地、一同地,"giống nhau, đều…như nhau"
2070,一律,いちりつ,"Uniformly, flat (rate), without exceptions",一律,như nhau
2071,一挙に,いっきょに,"At once, in one go",一举、一下子,cùng một lúc
2072,一切,いっさい,"(not) at all, (not) ever",全然、完全,hoàn toàn
2073,一心に,いっしんに,With all your heart,专心地、拼命地,"toàn tâm toàn ý, với cả tấm lòng"
2074,いっそ,,Rather,索性、干脆,chẳng thà
2075,今更,いまさら,Too late to,事到如今、事已至此,"đến nước này, bây giờ thì"
2076,いまだ,,"Still, even now",仍然、尚未,đến giờ vẫn
2077,今や,いまや,Now,现在、当今,"hiện giờ, chính lúc này"
2078,いやに,,"Awfully, terribly",特别地、异常地,một cách lạ thường
2079,いわば,,So to speak,可以说、就好比是,"nói ví von là, nói nôm na là"
2080,遅くとも,おそくとも,At the latest,最迟、最晚,chậm nhất là
2081,恐る恐る,おそるおそる,Fearfully,战战兢兢地,"run rẩy, rụt rè, sợ sệt"
2082,おのずから,,"Naturally, automatically",自然而然地,"tự động, tự nhiên"
2083,がっくり,,In disappointment,突然无力地,gục hẳn xuống
2084,がっしり,,"Sturdy, stocky",健硕、结实,cứng cáp
2085,かつて,,Once,曾经、以前,"đã từng, một thời"
2086,かねてから/かねてより,,"Long-standing, for a long time",一直以来,"bao lâu nay, từ lâu"
2087,がらりと,,Radically,完全地、剧变地,"hoàn toàn, đột nhiên"
2088,がらんと,,"Bare, empty",空荡荡地,"trống trải, trống vắng"
2089,辛うじて,かろうじて,"Barely, only just",总算、勉勉强强地,vừa đủ
2090,代わる代わる,かわるがわる,In turn,交替地、轮流地,"lần lượt, thay nhau"
2091,元来,がんらい,"Originally, by nature",本来、原来,"về bản chất, vốn"
2092,きっかり,,"Exactly, on time",整、正好,một cách chính xác
2093,急きょ,きゅうきょ,Hurriedly,急忙地、匆忙地,gấp rút
2094,極めて,きわめて,Extremely,极其、非常,cực kỳ
2095,均等に,きんとうに,"Evenly, equally",均等地,"một cách bình đẳng, đều nhau"
2096,くっきり,,"Clear, crisp, sharp",清晰地、鲜明地,rõ ràng
2097,ぐっと,,"Much, significantly [intensifier]",越发,hơn hẳn
2098,けっこう,,"Rather, considerably",相当,khá
2099,現に,げんに,Actually,实际上,"thực tế là, ngay trước mắt"
2100,交互に,こうごに,In alternation,交错地,"luân phiên, lẫn nhau"
2101,後日,ごじつ,At a later date,日后,"sau này, trong tương lai"
2102,こつこつ,,"Diligently, tirelessly",孜孜不倦地,"chăm chỉ, cần mẫn"
2103,こっそり,,Secretly,偷偷地,lén lút
2104,殊に,ことに,Particularly,特别是,"nhất là, đặc biệt là"
2105,粉々に,こなごなに,In pieces,粉碎、稀巴烂,thành mảnh vụn
2106,再三,さいさん,Repeatedly,再三、屡次,năm lần bảy lượt
2107,差し当たり/差し当たって,さしあたり/さしあたって,For the time being,当前、眼下,"ngay lúc này, hiện thời"
2108,さぞ,,Surely,想必、一定,ắt hẳn
2109,さほど,,(Not) so much,（没有）如此、（没有）那么,"đến thế, như thế (theo sau là phủ định)"
2110,さも,,"Evident, obvious",很、非常,thấy rõ
2111,散々,さんざん,Thoroughly bad,狠狠地、彻底地,"thậm tệ, tệ hại, mức độ nhiều"
2112,強いて,しいて,Compulsorily,硬、勉强,bắt buộc
2113,じかに,,"In person, directly",直接地、当面地,trực tiếp
2114,直に/直,じきに/じき,"In a bit, soon",很快、马上,"sắp sửa, nhanh chóng"
2115,しきりに,,Frequently,不停地、频繁地,"thường, suốt"
2116,渋々,しぶしぶ,"Unwillingly, reluctantly",勉勉强强地、不情愿地,miễn cưỡng
2117,若干,じゃっかん,"Certain, some",若干、多少,"một ít, một vài, hơi"
2118,随時,ずいじ,Any time,随时,"bất kỳ lúc nào, khi cần"
2119,せんだって,,The other day,前几天、前些日子,hôm nọ
2120,即座に,そくざに,Immediately,即刻、当场,"tức thì, tại chỗ"
2121,そもそも,,"In the first place, originally",说起来、最初,vốn dĩ / trạng thái ban đầu
2122,それとなく,,In a roundabout way,委婉地,"gián tiếp, bóng gió"
2123,近々,ちかぢか,Soon,近期,"sớm, sắp sửa"
2124,ちらほら,,"Here and there, sporadically",星星点点地、稀稀落落地,lác đác
2125,つくづく,,"Thoroughly, deeply",痛切地、深切地,thấm thía
2126,適宜,てきぎ,Properly,恰当地、适宜地,"thích hợp, đúng chỗ"
2127,てきぱき,,Quickly and efficiently,麻利地、敏捷地,"mau lẹ, rốt ráo"
2128,てっきり,,Surely,肯定、一定,chắc mẩm
2129,転々と,てんてんと,From place to place,辗转、转来转去,hết chỗ này tới chỗ khác
2130,到底,とうてい,(Not) at all,怎么也、无论如何也,dù gì thì
2131,どうにか,,Somehow,总算、勉强,"(làm) cái gì đó, bằng cách nào đó"
2132,どうも,,Somehow,总觉得,có gì đó
2133,どうやら,,Apparently,似乎、好像,"dường như, có vẻ, bằng cách nào đó"
2134,とかく,,Tend to,动不动、总是,có xu hướng
2135,時折,ときおり,Now and again,有时、偶尔,"thỉnh thoảng, thi thoảng"
2136,とっさに,,"Suddenly, instantly",刹那、立刻,"tức khắc, tức thì"
2137,突如,とつじょ,Suddenly,突然、突如其来,đột ngột
2138,とりわけ,,Particularly,特别地、格外地,"nhất là, hơn cả"
2139,どんより,,"Overcast, cloudy",（天空）阴沉沉地,u ám
2140,なおさら,,All the more,更加、越发,lại càng
2141,なにしろ,,"After all, as you know",不管怎么说、总之,dù sao đi nữa
2142,なんだかんだ,,"This or that, this and that",这个那个,này nọ
2143,何なりと,なんなりと,"Whatever, anything",无论如何、无论什么,bất kể là gì
2144,日夜,にちや,Day and night,日以继夜地,"ngày đêm, luôn luôn"
2145,にやにや,,"Grinning, smiling",暗笑、偷乐,tủm tỉm
2146,にわかに,,Suddenly,骤然、一下子,"đột ngột, bỗng dưng"
2147,軒並み,のきなみ,"Across the board, in lockstep",一律、统统,"cái nào cũng, đồng loạt"
2148,漠然と,ばくぜんと,Vaguely,茫然地、模糊地,mơ hồ
2149,甚だ,はなはだ,"Very, deeply",非常、极其,rất nhiều
2150,はるか,,Far,遥远地,"xa xôi, xa xưa"
2151,はるかに,,"Far, much more",远远地、（差距）很大地,(mức độ) nhiều
2152,ひいては,,After all,甚至、进而,"hơn thế nữa, không những…mà còn, nhờ vậy"
2153,ひそひそ,,Whispering,嘁嘁喳喳地、悄悄地,thì thầm
2154,ひたすら,,"Earnestly, in a heartfelt way",一心一意地、一个劲儿地,"tha thiết, hết lòng, một lòng"
2155,びっしり,,"Tightly, packed",满满地,"chật kín, chen chúc"
2156,ひとまず,,For the time being,暂时,"tạm thời, trong lúc này"
2157,不意に,ふいに,Unexpectedly,意外、突然,bất chợt
2158,へとへとに,,Exhausted,疲惫不堪地、筋疲力尽地,rã rời
2159,ぼうぜんと,,"With a stunned, vacant look",愕然、发愣,ngây dại
2160,誠に,まことに,Sincerely,真、实在,"thực lòng, thực sự"
2161,まさしく,,"Really, truly",的确、确实,"chắc chắn, đúng như"
2162,まして,,Still more,何况、更不用说,"hơn thế nữa, khỏi phải nói, hiển nhiên là"
2163,丸ごと,まるごと,Whole,整个儿地、完整地,"cả, trọn"
2164,むっと,,"Take offence / Be close, stuffy",怒上心头；（空气）闷、（气味）熏得慌,hờn dỗi / hầm hập
2165,むやみに,,"Unreasonably, recklessly",胡乱、随便,thiếu suy nghĩ
2166,むろん,,Of course,当然、不用说,tất nhiên
2167,めきめき,,"Visibly, rapidly (progress)",显著地、迅速地,"đáng kể, vượt bậc"
2168,めっきり,,"Remarkably, appreciably",明显地、显著地,"thấy rõ, đáng chú ý"
2169,専ら,もっぱら,Solely,专门、主要,chuyên tâm
2170,もはや,,No longer,已经,"đã…rồi, đã không còn"
2171,悠々と,ゆうゆうと,In a leisurely way,悠闲地,"ung dung, điềm tĩnh"
2172,ゆったり,,"Loose, comfortable / Relaxing",宽松地；从容地、悠闲自得地,rộng rãi / thư thái
2173,ゆらゆら,,[Denotes to-and-fro or side-to-side movement],轻轻地（摇动）,"lắc lư, đu đưa"
2174,よろよろ,,In a tottering or staggering  way,摇摇晃晃地、东倒西歪地,lảo đảo
2175,わいわい,,"Noisily, loudly",吵吵闹闹地,"ồn ào, rôm rả"
2176,来る,きたる,"Coming, next",下一个、即将来临的一个,"kế đến, sắp đến"
2177,とんだ,,"Terribly, awfully / Irreversible",不可挽回的,"quá thể, quá mức / vô phương cứu chữa"
2178,および,,And,以及,"và, cũng như là"
2179,かつ,,"As well as, moreover",且、并且,"bên cạnh đó, hơn nữa, đồng thời"
2180,しかしながら,,However,然而、但是,tuy nhiên
2181,それにしては,,"Even so, yet",相比起、同……不相合适,"mặc dù vậy, vậy mà"
2182,それにしても,,"Nonetheless, even so",尽管如此、话虽如此,dù vậy đi nữa
2183,それゆえ,,"Therefore, for that reason",因此,"vậy nên, chính vì vậy"
2184,ちなみに,,By the way,顺便、附带（说一下）,"nhân tiện, tiện thể"
2185,ないし,,Or (as used to express a range),至、从……到……,từ…đến…
2186,ならびに,,And,及、与,"và, cùng"
2187,もしくは,,Or,或、或者,hoặc
2188,ゆえに,,Therefore,因此,"vậy nên, theo đó"
2189,よって,,"Therefore, accordingly",故而、因此,"cho nên, vậy nên"
2190,御社,おんしゃ,Your company (spoken),贵司（口语）,quý công ty (văn nói)
2191,貴校,きこう,Your school,贵校,quý trường
2192,貴社,きしゃ,Your company (written),贵司（书面语）,quý công ty (văn viết)
2193,小社,しょうしゃ,"Our company, we, our (corporate)",敝司,công ty chúng tôi
2194,拝見する,はいけんする,See,看,xem
2195,拝借する,はいしゃくする,Borrow,拜借、借,mượn
2196,弊社,へいしゃ,"Our company, we, our (corporate)",敝司,công ty chúng tôi
2197,恐れ入ります,おそれいります,I am sorry to trouble you / Thank you,谢谢、非常感谢；真对不起、实在抱歉,cảm ơn / xin thứ lỗi
2198,敬具,けいぐ,Yours sincerely,谨启,kính thư
2199,前略,ぜんりゃく,"Forgive me for omitting the preliminaries, but ..",前略,lược phần đầu thư (hàm ý xin phép vào thẳng ý chính)
2200,拝啓,はいけい,"Dear Sir(s), Dear Madam",敬启,kính gửi
